seinte		 (F2 G1)	1
mout proçaineprocheinement		 (F2 G1)	1
et entendi		 (F2 G1)	1
et ce dire		 (F2 G1)	1
a crier		 (F2 G1 M1 N)	1
Si com il delivra le serjant au conselle		 (C3 D E2 F2 G1 M1 N)	1
et grant derverie		 (F2 G1)	1
li conceles		 (F2 G1)	1
et par tel covenance		 (F2 G1)	1
Si com il chaça le deable hors d'une			
              meson		 (C3 D E2 F2 G1 M1 N)	1
Jesu Crist		 (F2 G1 M1 N)	1
Uns miracles de seint Martin		 (C3 D E2 F2 G1 M1 N)	1
et fors de doutance		 (E2 F2 G1 M1 N)	1
Uns autres miracles		 (C3 D E2 F2 G1 M1 N)	1
Uns autres miracles		 (C3 D E2 F2 G1 M1 N)	1
tres		 (F2 G1 M1 N)	1
en nule maniere		 (F2 G1 M1 N)	1
Si com il rendi a un home son oel 		 (C3 D E2 F2 G1 M1 N)	1
Si com il cheï del cenailldou cheval		 (C3 D E2 F2 G1 M1 N)	1
ce		 (F2 G1 M1 N)	1
lendemein		 (F2 G1)	1
et de dire		 (F2 G1 N)	1
a lui		 (F2 G1 M1 N)	1
et sanz droiture		 (F2 G1)	1
mie		 (F2 G1 M1 N)	1
toz		 (D E2 F2 G1)	1
Tel signorie et tel hautescesi grant bien et si grant hautescheet si grant bien et si grant haultece Qe nus deviser nel sauroitporroit, Ja tant ne s'en entremetroitChertes bon porçachier feroit Riches, povresRiche et povre conmunement. Qiqu'il a celtel esjoïssement. Peüssent venir sanz desfense. Et cil qi la venir ne penseparvenir n'i pense. EstIl est certesentrés en molt male voie,  Car li deables le desvoie. Qi oaavec lui est soir et matin. Qi la vie ot de seint			
                          Martin, Aucun bien en doit			
                        retenir,  Car del bien doit bien sovenir. Le mal doit l'en lessier aler. Ce oiai oï sovent dire et conter. Qe del bien doit nestresieut venir li biensseut li biens venir,  Del mal le malli maus as ancïensne puet fallir. Ne vos en sai plus qe retraire. BuerBien fu nés qi le bien puet feire,  Car Dex l'aime, mon essïent. 		 (D E2 F2 G1)	1
li empereres		 (F2 G1)	1
tost		 (F2 G1 M1 N)	1
encore		 (F2 G1)	1
et ceste oevre		 (F2 G1 M1 N)	1
veoir		 (C2 C3 D E2 F2 G1)	1
tout		 (C2 C3 D E2 F2 G1 M1 N)	1
ce est de ses deciples qi ensamble oavec lui erentestoient		 (F2 G1)	1
q'il avoient eü		 (F2 G1)	1
haute		 (F2 G1)	1
qe tu t'en repentisses		 (F2 G1)	1
l'		 (F2 G1 M1 N)	1
et tramise		 (F2 G1)	1
Puis		 (F2 G1 N)	1
as iols		 (F2 G1)	1
et a amonester		 (F2 G1)	1
tout premiers		 (F2 G1)	1
entre eus		 (F2 G1 M1 N)	1
et de lié		 (F2 G1)	1
ore		 (F2 G1)	1
resplendissant		 (F2 G1)	1
sor un pavement tenvenetendre qi en celele chambre estoit		 (F2 G1)	1
feire		 (F2 G1)	1
lasa seinte compaignie de		 (F2 G1)	1
del cors		 (F2 G1 M1 N)	1
si dist		 (F2 G1 M1 N)	1
et une grant dissention		 (F2 G1 M1 N)	1
seul		 (F2 G1 M1)	1
Ce est certeinecerte chosecose certainecose certe et provee		 (F2 G1)	1
fu		 (F2 G1)	1
tot		 (F2 G1)	1
adonc		 (F2 G1 N)	1
de ceste vie		 (F2 G1)	1
Qi del trestottot nos assegureraseüreen asseüre. Et qi la verité en dist, 		 (D E2 F2 G1)	1
deet de grant maniere		 (F2 G1 M1 N)	1
mout haut		 (F2 G1)	1
ensamble		 (F2 G1)	1
li arcevesqes et li arcedyacres		 (F2 G1)	1
Il		 (D E2 F2 G1)	1
devant		 (F2 G1 M1 N)	1
a l'arcedyacre		 (F2 G1)	1
en lor compaignie		 (F2 G1 N)	1
ne tant ne qant		 (F2 G1)	1
tost et isnielement		 (F2 G1)	1
bien		 (F2 G1)	1
le boneüré evesqe		 (F2 G1)	1
ne troublez		 (F2 G1)	1
seinz		 (E2 F2 G1)	1
et consomee		 (F2 G1)	1
aet a grant joie		 (F2 G1)	1
et a grant segnoriegranz seignories si com droiz estoit		 (F2 G1)	1
			
			
			
Leçons d'ordre sémantique (60)			
Pourcentage : 20.13422818791946			
			
        v Pourcentage de leçons uniquement avec les deux témoins : 30			
			
Lemme 	Leçon		
i	il (C3 D E2 F2 G1 M1 N)	3	
defors	dehors (E2 F2 G1)	2	
cel	ce (F2 G1)	2	
Ysabbarie	Ysapharie (E2 F2 G1 M1 N)	1	
resembloit	sambloit (F2 G1 M1 N)	1	
parvindrent	vindrent (E2 F2 G1 M1 N)	1	
l'espee	s'espee (F2 G1)	1	
contree	terre (F2 G1 M1 N)	1	
de diversitez	d'aversitez (F2 G1 M1 N)	1	
trespassé	passé (C2 C3 D E2 F2 G1 M1 N)	1	
ou	qe (F2 G1 N)	1	
trestoz	touz (F2 G1 M1 N)	1	
dedenz	ens (F2 G1)	1	
cui il	qu'il (D E2 F2 G1 N)	1	
rot	ot (C2 C3 D E2 F2 G1 M1 N)	1	
si estoit	s'estoit (C2 C3 D E2 F2 G1 M1 N)	1	
tresq'a	dusqu'a (F2 G1 M1 N)	1	
d'	par (F2 G1 M1 N)	1	
manoient	manjoient (F2 G1 M1 N)	1	
empriés	aprés (E2 F2 G1 M1)	1	
nule chose	rien (G1 F2)	1	
trestruit	tuit (F2 G1 M1 N)	1	
ce	cel (E2 F2 G1)	1	
esmervellier	merveillier (F2 G1)	1	
nostre Signor	Dieu (F2 G1)	1	
garantie	sauvee (F2 G1)	1	
le pueple	le monde (F2 G1)	1	
departi	parti (C3 D E2 F2 G1)	1	
si	molt (F2 G1 M1)	1	
toucha	atoucha (E2 D F2 G1 M1)	1	
plus	au plus (D E2 F2 G1)	1	
et 	mes (F2 G1 M1 N)	1	
cel	l' (E2 F2 G1)	1	
si	s'en (F2 G1)	1	
trespassa	passa (F2 G1 M1 N)	1	
plenierement	pleinement (D F2 G1)	1	
par ce il	par ce qu'il (C2 C3 E2 F2 G1 M1 N)	1	
si c'on	si conme l'en (E2 F2 G1)	1	
q'il	et (F2 G1)	1	
estoit de	avoit (F2 G1)	1	
fumiere	fumee (D E2 F2 G1)	1	
signum crucis	le signe de la croiz (D E2 F2 G1)	1	
desertes	diverses (C2 D E2 F2 G1)	1	
departirent	partirent (C2 D F2 G1)	1	
el	au (F2 G1 M1 N)	1	
faillir	deffaillir (C2 D E2 F2 G1)	1	
soi	lui (D F2 G1 M1 N)	1	
tresor	cors (F2 G1)	1	
por quoi	que (F2 G1)	1	
chanter	chantantes (C3 F2 G1 M1 N)	1	
sera	fera (F2 G1)	1	
esmerveillierent	merveillierent (F2 G1)	1	
trespassee	passee (F2 G1)	1	
eslevez	esleuz (C2 C3 D E2 F2 G1)	1	
sorent	se sorent (C3 D E2 F2 G1)	1	
manderent	demanderent (C2 C3 D E2 F2 G1)	1	
